Keys,en,en_CA,ar,cmn,cs,de,es,fi,fr,hi,it,ja,ko,pl,pt,ru,uk
ACTIVE,Active,Active eh?,نشيط,积极的,Aktivní,Aktiv,Activo,Aktiivinen,Actif,सक्रिय,Attivo,アクティブ,활동적인,Aktywny,Ativo,Активный,Активний
AIR,Air,Air eh?,هواء,空气,Vzduch,Luft,Aire,Ilma,Air,वायु,Aria,空気,공기,Powietrze,Ar,Воздух,Повітря
AQUAPONICS,Aquaponics,Aquaponics eh?,المائية,水培技术,Aquaponics,Aquaponik,Acuaponia,Vesipoliisi,Aquaponique,aquaponics,Acquaponica,アクアポニックス,아쿠아 포닉스,Aquaponics,Aquaponics,Аквапоника,Аквапоніка
ATTRIBUTIONS,Attributions,Attributions eh?,الصفات,归因,Atributy,Zuschreibungen,Atribuciones,Määrittelyt,Attributions,विशेषताएं,Attribuzioni,帰属,속성,Przypisania,Atribuições,Атрибуты,Атрибути
AUTHOR,Cyber Puffin,Cyber Puffin eh?,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin,Cyber Puffin
BATTERIES,Batteries,Batteries eh?,البطاريات,电池,Baterie,Batterien,Baterías,Paristot,Batteries,बैटरियों,Batterie,バッテリー,배터리,Baterie,Baterias,Батареи,Батареї
BOTS,Bots,Bots eh?,روبوتات,机器人,Roboti,Bots,Bots,Robotti,Bots,बॉट,Robot,ボット,봇,Boty,Bots,Боты,Боти
BYERED,So long Red,So long Red eh?,أحمر طويل جدا,这么长的红色,Tak dlouhá červená,So lange rot,Tan largo rojo,Niin pitkä punainen,Si long rouge,इतना लंबा लाल,Così lungo rosso,とても長い赤,너무 긴 빨간색,Tak długi czerwony,Longo vermelho,Так долго красный,Так довго червоний
CANCEL,Cancel,Cancel eh?,يلغي,取消,zrušení,Stornieren,Cancelar,Peruuttaa,Annuler,रद्द करना,Annulla,キャンセル,취소,Anulować,Cancelar,Отмена,Скасувати
CONTINUE,Continue,Continue eh?,يكمل,继续,Pokračovat,Weitermachen,Continuar,Jatkaa,Continuer,जारी रखना,Continua,続く,계속하다,Kontynuować,Continuar,Продолжать,Продовжувати
CONVERSIONRATES,Conversion rates,Conversion rates eh?,أسعار التحويل,转换率,Míra konverze,Umrechnungskurse,Medidas de conversión,Muuntokurssit,Taux de conversion,परिवर्तन दरें,Tassi di conversione,変換率,전환율,Współczynniki przeliczeniowe,Taxas de conversão,Коэффициент конверсии,Коефіцієнт конверсії
CRYOPODS,Cryogenic Pods,Cryogenic Pods eh?,القرون المبردة,低温豆荚,Kryogenní lusky,Kryogene Pods,Vainas criogénicas,Kryogeeniset palot,Gousses cryogéniques,क्रायोजेनिक पॉड्स,Pod criogenici,極低温ポッド,극저온 포드,Kryogeniczne strąki,Vagens criogênicas,Криогенные стручки,Кріогенні стручки
DEBUG,Debug,Debug eh?,تصحيح,调试,Ladit,Debuggen,Depurar,Virheenkorjaus,Déboguer,डिबग,Debug,デバッグ,디버그,Odpluskwić,Depurar,Отлаживать,Відлагоджувати
DEPART,Depart,Depart eh?,تغادر,离开,Odjezd,Abfahren,Salir,Lähteä,Partir,रवाना होना,Partenza,出発,출발,Odjeżdżać,Partir,Вылетать,Відходити
DEPARTFROMEARTH,Depart from Earth,Depart from Earth eh?,الخروج من الأرض,离开地球,Odchýlit se ze Země,Von der Erde abreisen,Salir de la tierra,Lähteä maasta,Partir de la Terre,पृथ्वी से प्रस्थान करना,Partecipa dalla Terra,地球から出発します,지구에서 떠납니다,Odejdź z Ziemi,Se afastar da Terra,Уйти с Земли,Від'їзд із Землі
DETAILS,Details,Details eh?,تفاصيل,细节,Podrobnosti,Einzelheiten,Detalles,Yksityiskohdat,Détails,विवरण,Dettagli,詳細,세부,Detale,Detalhes,Подробности,Деталі
DIALOG001,Hello Star Voyagers!,Hello Star Voyagers! eh?,مرحبا ستار Voyagers!,你好，星空旅行者！,Ahoj hvězda voyagers!,Hallo Star Voyager!,¡Hola Star Voyagers!,Hei Star Voyagers!,Bonjour les Voyagers Star!,हैलो स्टार वायेजर्स!,Ciao stella voyagers!,こんにちはスターボイジャーズ！,안녕하세요 스타 보이너!,Hello Star Voyagers!,Olá Voyagers Star!,"Привет, звезда Voyagers!",Привіт зірки Воягерів!
DIALOG002,"Thank you for your involuntary compliance with the citizen relocation program, sponsored by Hetap.","Thank you for your involuntary compliance with the citizen relocation program, sponsored by Hetap. eh?",شكرًا لك على امتثالك اللاإرادي لبرنامج نقل المواطن ، برعاية HETAP.,感谢您非自愿遵守HETAP赞助的公民搬迁计划。,"Děkujeme vám za nedobrovolné dodržování programu pro přemístění občanů, které sponzoruje HETAP.",Vielen Dank für Ihre unfreiwillige Einhaltung des von Hetap gesponserten Citizen -Umzugsprogramms.,"Gracias por su cumplimiento involuntario del Programa de Reubicación Ciudadana, patrocinado por Hetap.","Kiitos tahattomasta, joka noudattaa Hetapin sponsoroimaa kansalaisten siirtämisohjelmaa.","Merci pour votre conformité involontaire avec le programme de relocalisation des citoyens, parrainé par Hetap.",HETAP द्वारा प्रायोजित नागरिक पुनर्वास कार्यक्रम के साथ आपके अनैच्छिक अनुपालन के लिए धन्यवाद।,"Grazie per la tua conformità involontaria con il programma di trasferimento dei cittadini, sponsorizzato da HETAP.",Hetapが主催する市民移転プログラムへの不本意なコンプライアンスに感謝します。,Hetap이 후원하는 Citizen Rejoction Program을 비자발적으로 준수 해 주셔서 감사합니다.,"Dziękujemy za mimowolną zgodność z programem relokacji obywateli, sponsorowanego przez Hetap.","Obrigado por sua conformidade involuntária com o Programa de Relocação do Cidadão, patrocinado pela HETAP.","Спасибо за ваше принудительное соблюдение программы переселения граждан, спонсируемой Hetap.","Дякуємо за ваше мимовільне дотримання програми переселення громадян, спонсорованої HETAP."
DIALOG003,With the aid of our foremost scientists we've developed this long-term solution to Earth's overpopulation and resource limitations.,With the aid of our foremost scientists we've developed this long-term solution to Earth's overpopulation and resource limitations. eh?,بمساعدة علماءنا الأهم ، قمنا بتطوير هذا الحل طويل الأجل لقيود الأرض والقيود الموارد للأرض.,在我们最重要的科学家的帮助下，我们已经为地球人口过多和资源限制开发了这种长期解决方案。,S pomocí našich předních vědců jsme vyvinuli toto dlouhodobé řešení přelidňových a zdrojových omezení Země.,Mit Hilfe unserer führenden Wissenschaftler haben wir diese langfristige Lösung für die Überbevölkerung der Erde und Ressourcenbeschränkungen entwickelt.,"Con la ayuda de nuestros científicos más importantes, hemos desarrollado esta solución a largo plazo para la sobrepoblación y las limitaciones de recursos de la Tierra.",Tärkeimpien tutkijoiden avulla olemme kehittäneet tämän pitkäaikaisen ratkaisun maan ylikuormitukseen ja resurssien rajoituksiin.,"Avec l'aide de nos principaux scientifiques, nous avons développé cette solution à long terme à la surpopulation et aux limitations des ressources de la Terre.",हमारे सबसे महत्वपूर्ण वैज्ञानिकों की सहायता से हमने पृथ्वी की ओवरपॉपुलेशन और संसाधन सीमाओं के लिए इस दीर्घकालिक समाधान को विकसित किया है।,Con l'aiuto dei nostri principali scienziati abbiamo sviluppato questa soluzione a lungo termine alla sovrappopolazione e ai limiti delle risorse della Terra.,私たちの最も重要な科学者の助けを借りて、私たちは地球の人口と資源の制限に対するこの長期的なソリューションを開発しました。,우리의 가장 중요한 과학자들의 도움으로 우리는 지구의 과잉 인구와 자원 한계에 대한이 장기 솔루션을 개발했습니다.,Za pomocą naszych najważniejszych naukowców opracowaliśmy to długoterminowe rozwiązanie przeludnienia i ograniczeń zasobów Ziemi.,"Com a ajuda de nossos principais cientistas, desenvolvemos essa solução a longo prazo para as limitações de superpopulação e recursos da Terra.",С помощью наших ведущих ученых мы разработали это долгосрочное решение для чрезмерной перенаселения Земли и ограничений ресурсов.,За допомогою наших головних вчених ми розробили це довгострокове рішення щодо перенаселення та обмежень ресурсів Землі.
DIALOG004,You and your family have been randomly selected for the adventure of your lifetime.,You and your family have been randomly selected for the adventure of your lifetime. eh?,لقد تم اختيار أنت وعائلتك بشكل عشوائي لمغامرة حياتك.,您和您的家人已被随机选择一生的冒险。,Vy a vaše rodina jste byli náhodně vybráni pro dobrodružství vašeho života.,Sie und Ihre Familie wurden zufällig für das Abenteuer Ihres Lebens ausgewählt.,Usted y su familia han sido seleccionados al azar para la aventura de su vida.,Sinä ja perheesi on valittu satunnaisesti elämäsi seikkailuun.,Vous et votre famille avez été sélectionnés au hasard pour l'aventure de votre vie.,आपको और आपके परिवार को आपके जीवनकाल के साहसिक कार्य के लिए बेतरतीब ढंग से चुना गया है।,Tu e la tua famiglia siete stati selezionati casualmente per l'avventura della vostra vita.,あなたとあなたの家族はあなたの生涯の冒険のためにランダムに選ばれました。,당신과 당신의 가족은 당신의 일생의 모험을 위해 무작위로 선정되었습니다.,Ty i Twoja rodzina zostaliście losowo wybrani na przygodę twojego życia.,Você e sua família foram selecionados aleatoriamente para a aventura de sua vida.,Вы и ваша семья были выбраны случайным образом для приключений вашей жизни.,Ви та ваша родина були обрані випадковим чином для пригоди вашого життя.
DIALOG005,"Instead of skipping through the exciting space flight, you will foregoe cryogenic sleep in favor of maintaining and piloting the Star Wagon to her destination.","Instead of skipping through the exciting space flight, you will foregoe cryogenic sleep in favor of maintaining and piloting the Star Wagon to her destination. eh?",بدلاً من تخطي الرحلة الفضائية المثيرة ، ستتخلى عن النوم المبرد لصالح الحفاظ على عربة النجوم وتجريبها إلى وجهتها.,您不会跳过激动人心的太空飞行，而是放弃低温睡眠，而是支持并将恒星旅行车驾驶到她的目的地。,"Místo toho, abyste přeskočili vzrušujícím vesmírným letem, se vzdáte kryogennímu spánku ve prospěch udržování a pilotování hvězdného vozu do jejího cíle.","Anstatt durch den aufregenden Raumflug zu gehen, werden Sie auf kryogenen Schlaf verzichten, um den Sternwagen an ihrem Ziel zu erhalten und zu steuern.","En lugar de omitir el emocionante vuelo espacial, prestará el sueño criogénico a favor de mantener y pilotar el carro estrella hasta su destino.","Sen sijaan, että ohitat jännittävän avaruuslennon, voit luopua kryogeenisestä unesta tähtivaunun ylläpitämisen ja pilotoinnin hyväksi määränpäähänsä.","Au lieu de sauter le vol spatial passionnant, vous renoncerez au sommeil cryogénique en faveur du maintien et de la pilotage du wagon étoilé à sa destination.","रोमांचक अंतरिक्ष उड़ान के माध्यम से छोड़ने के बजाय, आप क्रायोजेनिक नींद को अपने गंतव्य के लिए स्टार वैगन को बनाए रखने और पायलट करने के पक्ष में सोएंगे।","Invece di saltare l'eccitante volo spaziale, rinuncerai al sonno criogenico a favore del mantenimento e del pilotaggio del carro stellare a destinazione.",エキサイティングな宇宙飛行をスキップする代わりに、スターワゴンを目的地に維持し、操縦することを支持して、極低温睡眠を見せかけます。,"흥미 진진한 우주 비행을 건너 뛰는 대신, 당신은 스타 마차를 목적지로 유지하고 조종하는 데 찬성하여 극저온 수면을 포기하게됩니다.","Zamiast przeskakiwać ekscytujący lot kosmiczny, zrezygnujesz z kriogenicznego snu na rzecz utrzymania i pilotowania Wagonu Gwiezdnego do miejsca docelowego.","Em vez de pular o empolgante vôo espacial, você irá abandonar o sono criogênico a favor de manter e pilotar a carroça estrela para seu destino.","Вместо того, чтобы пропустить захватывающий космический полет, вы откажетесь от криогенного сна в пользу поддержания и пилотирования звездного универсала до ее пункта назначения.","Замість того, щоб пропустити захоплюючий космічний політ, ви будете відмовлятися від кріогенного сну на користь підтримки та пілотування зіркового фургона до місця призначення."
DIALOG006,Please note human controls have been disabled until Star Wagon has reached its destination.,Please note human controls have been disabled until Star Wagon has reached its destination. eh?,يرجى ملاحظة أن الضوابط البشرية قد تم تعطيلها حتى وصلت Star Wagon إلى وجهتها.,请注意，直到Star Wagon到达目的地之前，人类控制已被禁用。,"Vezměte prosím na vědomí, že lidské kontroly byly deaktivovány, dokud Star Wagon nedosáhne cíle.","Bitte beachten Sie, dass menschliche Kontrollen deaktiviert wurden, bis Star Wagon sein Ziel erreicht hat.",Tenga en cuenta que los controles humanos se han deshabilitado hasta que Star Wagon haya llegado a su destino.,"Huomaa, että ihmisen hallintalaitteet on poistettu käytöstä, kunnes Star Wagon on saavuttanut määränpäänsä.",Veuillez noter que les contrôles humains ont été désactivés jusqu'à ce que Star Wagon ait atteint sa destination.,"कृपया ध्यान दें कि जब तक स्टार वैगन अपने गंतव्य तक नहीं पहुंच गया है, तब तक मानव नियंत्रण अक्षम कर दिया गया है।",Si noti che i controlli umani sono stati disabilitati fino a quando Star Wagon non ha raggiunto la sua destinazione.,Star Wagonが目的地に到達するまで、人間のコントロールが無効になっていることに注意してください。,Star Wagon이 목적지에 도달 할 때까지 인간의 통제가 비활성화되었습니다.,"Należy pamiętać, że elementy sterujące ludzkie nie zostały wyłączone, dopóki Star Wagon nie osiągnie celu.",Observe que os controles humanos foram desativados até que Star Wagon atinja seu destino.,"Обратите внимание, что элементы управления человеком были отключены до тех пор, пока Star Wagon не достигнет своего пункта назначения.","Зверніть увагу, людський контроль був відключений, поки зірковий фургон не досягне місця призначення."
DIALOG007,We hope you enjoy meeting the colorful indivuduals who have braved the harsh waypoints along your journey.,We hope you enjoy meeting the colorful indivuduals who have braved the harsh waypoints along your journey. eh?,نأمل أن تستمتع بمقابلة الأدوات غير الملونة التي تحدى نقاط الطريق القاسية على طول رحلتك.,我们希望您喜欢结识多彩的独立人士，他们在旅途中勇敢地勇敢地走路。,"Doufáme, že se vám bude líbit setkání s barevnými indivududuály, kteří podél vaší cesty odvážili drsné trasy.","Wir hoffen, dass Sie es genießen, die farbenfrohen Indivuduals zu treffen, die den harten Wegpunkten auf Ihrer Reise trotzen.",Esperamos que disfrute de conocer a los coloridos individuos que han desafiado los duros puntos de referencia a lo largo de su viaje.,"Toivomme, että nautit tapaamisesta värikkäiden yksilöiden tapaamisesta, jotka ovat rohkaisseet ankaria reittipisteitä matkallasi.",Nous espérons que vous apprécierez de rencontrer les indivugues colorées qui ont bravé les waypoints durs tout au long de votre voyage.,हम आशा करते हैं कि आप उन रंगीन अनिच्छुकों से मिलने का आनंद लेंगे जिन्होंने आपकी यात्रा के साथ कठोर तरीके से काम किया है।,Speriamo che ti piaccia incontrare gli indivuduali colorati che hanno sfidato i waypoint duri lungo il tuo viaggio.,あなたの旅に沿って厳しいウェイポイントに勇敢に立ち向かったカラフルな個々の人に会うことを楽しんでいただければ幸いです。,우리는 당신이 당신의 여행을 따라 가혹한 길을 가졌던 다채로운 고유 한 사람들을 만나는 것을 좋아하기를 바랍니다.,"Mamy nadzieję, że spodoba ci się spotkanie z kolorowymi osobami, którzy stawili czoła ostrym punktom trasy podczas podróży.",Esperamos que você goste de conhecer os índios coloridos que enfrentaram os dosos waypoints ao longo de sua jornada.,"Мы надеемся, что вам понравится встречаться с красочными подразделениями, которые выдержали суровые путевые точки по вашему путешествию.","Ми сподіваємось, що вам сподобається зустрічатися з барвистими індивольцями, які відважили суворі точки шляху по вашій подорожі."
DIALOG008,Please be aware the Earth Government provides no guarantee regarding your experiences with aformentioned individuals.,Please be aware the Earth Government provides no guarantee regarding your experiences with aformentioned individuals. eh?,يرجى العلم أن حكومة الأرض لا تقدم أي ضمان بخصوص خبراتك مع الأفراد المذكورة أعلاه.,请注意，地球政府对您与上述个人的经历没有保证。,"Uvědomte si, že vláda Země neposkytuje žádnou záruku týkající se vašich zkušeností s výše uvedenými jednotlivci.","Bitte beachten Sie, dass die Erdregierung keine Garantie für Ihre Erfahrungen mit den oben genannten Personen bietet.",Tenga en cuenta que el gobierno de la Tierra no ofrece garantía con respecto a sus experiencias con personas anteriores.,"Huomaa, että maanhallitus ei takaa kokemuksistasi edellä mainituista henkilöistä.",Veuillez noter que le gouvernement de la Terre ne garantit aucune garantie concernant vos expériences avec des personnes susmentionnées.,कृपया ध्यान रखें कि पृथ्वी सरकार उपरोक्त व्यक्तियों के साथ आपके अनुभवों के बारे में कोई गारंटी नहीं देती है।,Si prega di essere consapevoli che il governo terrestre non fornisce alcuna garanzia in merito alle tue esperienze con individui di cui sopra.,地球政府は、前述の個人とのあなたの経験に関する保証を提供しないことに注意してください。,지구 정부는 앞서 언급 한 개인과의 경험에 대해 보장을 제공하지 않습니다.,"Należy pamiętać, że rząd Ziemi nie gwarantuje twoich doświadczeń z wyżej wymienionymi jednostkami.",Esteja ciente de que o governo da Terra não oferece garantia sobre suas experiências com indivíduos mencionados.,"Пожалуйста, имейте в виду, что правительство Земли не дает никаких гарантий относительно вашего опыта с вышеупомянутыми людьми.","Будь ласка, майте на увазі, що уряд Землі не надає жодних гарантій щодо вашого досвіду з згаданими особами."
DIALOG009,Watch out for micro-meteoroids!,Watch out for micro-meteoroids! eh?,احترس من mitooroids الدقيقة!,提防微量符号！,Dejte si pozor na mikro-meteoroidy!,Achten Sie auf Mikro-Meteoroide!,¡Cuidado con los micro-meteoroides!,Varo mikrometeoroideja!,Attention aux micro-meteoroïdes!,माइक्रो-मेटोरॉइड्स के लिए बाहर देखो!,Fai attenzione ai micro-meteoroidi!,微小腸間葉に気をつけてください！,마이크로 비토 로이드를 조심하십시오!,Uważaj na mikro-meteoroidów!,Cuidado com micro-meteoróides!,Остерегайтесь микрометеороидов!,Слідкуйте за мікромотеороїдами!
DIALOG010,Good luck finding some available space.,Good luck finding some available space. eh?,حظا سعيدا في العثور على بعض المساحة المتاحة.,祝您好运找到一些可用的空间。,Hodně štěstí nalezení nějakého dostupného prostoru.,"Viel Glück, einen verfügbaren Platz zu finden.",Buena suerte para encontrar algo de espacio disponible.,Onnea löytää käytettävissä olevaa tilaa.,Bonne chance pour trouver un espace disponible.,कुछ उपलब्ध स्थान खोजने की शुभकामनाएँ।,Buona fortuna a trovare un po 'di spazio disponibile.,いくつかの利用可能なスペースを見つけてください。,가용 한 공간을 찾는 행운을 빕니다.,Powodzenia w znalezieniu dostępnej przestrzeni.,Boa sorte em encontrar algum espaço disponível.,Удачи в поиске доступного места.,Удачі знайшов якесь доступне місце.
DIALOG011,"Hey, welcome to the moon.","Hey, welcome to the moon. eh?",مرحبًا ، مرحبًا بك في القمر.,嘿，欢迎来到月球。,"Hej, vítejte na Měsíci.","Hey, willkommen im Mond.","Oye, bienvenido a la luna.","Hei, tervetuloa kuuhun.","Hé, bienvenue sur la lune.","अरे, चंद्रमा में आपका स्वागत है।","Ehi, benvenuto sulla luna.",ねえ、月へようこそ。,"이봐, 달에 오신 것을 환영합니다.","Hej, witaj na Księżycu.","Ei, bem -vindo à lua.","Эй, добро пожаловать на Луну.","Гей, ласкаво просимо на Місяць."
